model_name,mae,rmse,mape,r2,n_predictions
XGBoost,10.178958848523475,15.723146020320703,27.27291122355898,0.8901198519563063,4707
LSTM,10.180023220973784,17.15282542022411,27.430211957002427,0.8700147589678092,4539
SARIMA,42.621007780612246,53.51852945597202,92.13170755178282,-0.2722675871549205,4704
